#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA92-430    00:56:15.198 +00:53:18.20 14.440 +0.567 -0.040 +0.338 +0.338 +0.676  35  18 0.0041 0.0052 0.0081 0.0029 0.0051     1.2    -8.3  ______  13.352 0.026 13.072 0.030 12.978 0.032  14.06333  +0.88843  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.12
SA92-276    00:56:26.598 +00:41:50.72 12.036 +0.629 +0.067 +0.368 +0.357 +0.726  21  11 0.0039 0.0022 0.0039 0.0031 0.0052     3.5   -42.0  G5V___  10.850 0.026 10.563 0.025 10.505 0.023  14.11082  +0.69747  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.35
SA92-282    00:56:46.817 +00:38:29.50 12.969 +0.318 -0.038 +0.201 +0.221 +0.422  27  15 0.0031 0.0023 0.0044 0.0017 0.0033    22.1    -7.3  A5____  12.269 0.024 12.106 0.022 12.104 0.024  14.19511  +0.64157  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.19
SA92-507    00:56:50.777 +01:05:59.65 11.332 +0.932 +0.688 +0.507 +0.461 +0.969   3   2 0.0006 0.0046 0.0006 0.0012 0.0012    20.7    13.5  ______   9.666 0.023  9.222 0.029  9.101 0.020  14.21157  +1.09989  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.70
SA92-508    00:56:51.196 +01:09:34.19 11.679 +0.529 -0.047 +0.318 +0.320 +0.639   3   2 0.0035 0.0046 0.0029 0.0058 0.0029    -6.5   -20.2  F8____  10.586 0.023 10.340 0.029 10.299 0.020  14.21333  +1.15946  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.80
SA92-364    00:56:52.235 +00:43:53.58 11.673 +0.607 -0.037 +0.356 +0.357 +0.714   4   2 0.0015 0.0015 0.0085 0.0045 0.0055    16.5  -107.2  G5V___  10.513 0.030 10.103 0.034 10.077 0.018  14.21763  +0.73151  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.61
SA92-433    00:56:53.726 +01:00:41.72 11.667 +0.655 +0.110 +0.367 +0.348 +0.716   3   2 0.0006 0.0035 0.0115 0.0029 0.0023    31.4   -36.7  G5V___  10.463 0.021 10.188 0.030 10.083 0.018  14.22386  +1.01155  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.47
SA92-288    00:57:17.005 +00:36:48.67 11.631 +0.858 +0.472 +0.491 +0.441 +0.932  72  57 0.0011 0.0007 0.0014 0.0006 0.0011     3.3     4.4  K3V___  10.037 0.024  9.644 0.023  9.536 0.021  14.32085  +0.61353  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.22
Feige11     01:04:21.676 +04:13:37.04 12.065 -0.239 -0.988 -0.118 -0.142 -0.259  91  75 0.0007 0.0007 0.0017 0.0006 0.0011    12.1   -30.4  ______  12.649 0.028 12.756 0.026 12.884 0.024  16.09031  +4.22692  0.1 12.269 12.506 12.649 12.739 12.840 12.65
Feige11A    01:04:27.97  +04:11:55.4  14.475 +0.841 +0.454 +0.479 +0.426 +0.907  16   7 0.0027 0.0046 0.0128 0.0036 0.0098    40.0    28.0  ______  12.924 0.027 12.516 0.029 12.431 0.023  16.11653  +4.19873  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.92
Feige11B    01:04:28.389 +04:11:25.09 13.784 +0.747 +0.234 +0.437 +0.412 +0.849  14   7 0.0025 0.0026 0.0043 0.0021 0.0055    17.1     2.4  ______  12.352 0.027 11.943 0.024 11.868 0.021  16.11828  +4.19028  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.32
Feige16     01:54:34.633 -06:45:59.67 12.405 -0.008 +0.013 -0.007 +0.002 -0.004  59  46 0.0007 0.0007 0.0018 0.0008 0.0013    17.6    -4.4  ______  12.336 0.025 12.389 0.026 12.361 0.030  28.64428  -6.76657  0.1 12.270 12.329 12.359 12.336 12.349 12.22
SA93-407    01:54:37.126 +00:53:47.93 11.971 +0.852 +0.564 +0.487 +0.421 +0.908   5   3 0.0027 0.0031 0.0134 0.0031 0.0027    78.9   -31.9  K0V___  10.499 0.030 10.055 0.022  9.953 0.026  28.65470  +0.89660  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  10.61
SA93-317    01:54:37.728 +00:43:00.57 11.546 +0.488 -0.053 +0.293 +0.299 +0.592  53  44 0.0005 0.0006 0.0012 0.0006 0.0006    -9.3   -19.3  F5____  10.561 0.024 10.320 0.022 10.261 0.021  28.65722  +0.71681  0.1 10.73  -9.99  10.538 10.304 10.266 11.01
SA93-333    01:55:05.218 +00:45:42.57 12.009 +0.833 +0.436 +0.469 +0.422 +0.892  54  44 0.0009 0.0012 0.0021 0.0007 0.0009    19.7    -2.3  G5____  10.529 0.023 10.129 0.022 10.070 0.026  28.77174  +0.76182  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.38
SA93-424    01:55:26.364 +00:56:42.63 11.619 +1.083 +0.929 +0.553 +0.501 +1.056  55  44 0.0006 0.0010 0.0018 0.0006 0.0006     4.8    -2.8  G8III_   9.789 0.026  9.275 0.023  9.128 0.021  28.85984  +0.94516  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.33
G3-33       02:00:12.959 +13:03:07.01 12.298 +1.802 +1.306 +1.355 +1.752 +3.103  13   7 0.0032 0.0034 0.0098 0.0033 0.0037 -1092.0 -1772.9  ______   7.514 0.017  6.970 0.027  6.648 0.017  30.05328 +13.05312  5.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.77
PG0220+132B 02:23:33.863 +13:28:03.98 14.216 +0.937 +0.319 +0.562 +0.496 +1.058   3   2 0.0081 0.0375 0.0583 0.0058 0.0069   -14.8    -0.4  ______  12.386 0.024 11.892 0.023 11.775 0.023  35.89112 +13.46782  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.16
PG0220+132  02:23:38.419 +13:27:34.70 14.760 -0.132 -0.922 -0.050 -0.120 -0.170   5   3 0.0063 0.0112 0.0103 0.0098 0.0264     2.6    -0.7  ______  15.160 0.059 15.086 0.093 14.836 0.023  35.91009 +13.45971  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.37
PG0220+132A 02:23:39.989 +13:27:29.89 15.771 +0.783 -0.339 +0.514 +0.481 +0.995   3   2 0.0150 0.0699 0.0537 0.0110 0.0479     5.2    -7.8  ______  14.046 0.028 13.612 0.032 13.542 0.057  35.91663 +13.45836  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.69
Feige22     02:30:16.627 +05:15:50.70 12.798 -0.052 -0.809 -0.103 -0.105 -0.206  80  70 0.0009 0.0007 0.0015 0.0007 0.0013    75.6   -23.5  ______  13.282 0.026 13.367 0.033 13.425 0.036  37.56929  +5.26413  0.2 12.998 13.192 13.271 13.321 13.404 14.17
PG0231+051E 02:33:28.872 +05:19:48.38 13.809 +0.677 +0.207 +0.383 +0.369 +0.752  15   8 0.0019 0.0014 0.0019 0.0006 0.0019    -6.5    -9.9  ______  12.557 0.024 12.232 0.026 12.198 0.026  38.37028  +5.33011  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.67
PG0231+051D 02:33:34.00  +05:19:30.9  14.031 +1.077 +1.026 +0.671 +0.584 +1.252  19  11 0.0018 0.0022 0.0081 0.0011 0.0034    50.0   -36.0  ______  11.904 0.026 11.379 0.024 11.233 0.021  38.39165  +5.32524  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.48
PG0231+051A 02:33:40.067 +05:17:40.68 12.768 +0.711 +0.271 +0.405 +0.388 +0.794  16  10 0.0004 0.0011 0.0007 0.0005 0.0017    -9.0   -46.7  ______  11.419 0.023 11.128 0.023 11.035 0.021  38.41691  +5.29460  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.51
