#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA104-339   12:42:33.298 -00:41:39.88 15.459 +0.832 +0.709 +0.476 +0.374 +0.849   1   1 0.009  0.009  0.009  0.009  0.009     -6.1    -8.6  ______  13.885 0.032 13.421 0.032 13.350 0.041 190.63875  -0.69439  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.95
SA104-244   12:42:34.235 -00:45:47.06 16.011 +0.590 -0.152 +0.338 +0.489 +0.825   2   2 0.0092 0.0057 0.0113 0.0035 0.0290   -14.3   -15.2  ______  14.891 0.036 14.474 0.051 14.651 0.103 190.64265  -0.76305  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.65
SA104-455   12:42:52.116 -00:24:17.43 15.105 +0.581 -0.024 +0.360 +0.357 +0.716  13   7 0.0067 0.0144 0.0122 0.0053 0.0122    -9.0    -3.3  ______  13.903 0.027 13.611 0.032 13.519 0.043 190.71716  -0.40486  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.75
SA104-456   12:42:53.505 -00:32:00.91 12.362 +0.622 +0.135 +0.357 +0.337 +0.694   4   2 0.0025 0.0025 0.0045 0.0035 0.0080   -52.1    21.8  ______  11.190 0.022 10.932 0.022 10.864 0.023 190.72299  -0.53358  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.55
SA104-457   12:42:54.195 -00:28:48.68 16.048 +0.753 +0.522 +0.484 +0.490 +0.974   9   4 0.0107 0.0187 0.0770 0.0183 0.0213    13.1   -12.0  ______  14.475 0.033 14.113 0.035 14.080 0.063 190.72585  -0.48016  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.49
SA104-460   12:43:02.86  -00:28:19.0  12.895 +1.281 +1.246 +0.813 +0.695 +1.511  36  28 0.0019 0.0014 0.0026 0.0006 0.0015  -106.0    16.0  ______  10.514 0.024  9.842 0.022  9.711 0.024 190.76192  -0.47196  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.18
SA104-461   12:43:06.031 -00:32:18.01  9.705 +0.476 -0.035 +0.288 +0.289 +0.579 112  90 0.0005 0.0006 0.0009 0.0004 0.0005   -13.4     1.5  F7____   8.739 0.034  8.502 0.034  8.455 0.023 190.77511  -0.53836  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.44
SA104-350   12:43:14.204 -00:33:20.54 13.634 +0.673 +0.165 +0.383 +0.353 +0.736  14   7 0.0043 0.0035 0.0056 0.0032 0.0061     0.0   -11.8  ______  12.419 0.022 12.091 0.024 12.053 0.023 190.80917  -0.55572  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.40
SA104-470   12:43:22.314 -00:29:52.83 14.310 +0.732 +0.101 +0.295 +0.356 +0.649   3   1 0.0121 0.0092 0.0202 0.0133 0.0150    -9.5     3.6  ______  13.168 0.022 12.921 0.026 12.850 0.026 190.84294  -0.49801  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.17
SA104-364   12:43:45.986 -00:34:31.63 15.799 +0.601 -0.131 +0.314 +0.397 +0.712   2   1 0.0156 0.0488 0.0559 0.0085 0.0495   -10.7   -15.0  ______  14.786 0.030 14.433 0.033 14.303 0.069 190.94160  -0.57547  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.65
SA104-366   12:43:53.17  -00:34:45.4  12.908 +0.870 +0.424 +0.517 +0.464 +0.982   1   1 0.009  0.009  0.009  0.009  0.009    -44.0    68.0  ______  11.273 0.024 10.805 0.023 10.733 0.023 190.97156  -0.57928  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.57
SA104-479   12:43:55.279 -00:32:49.39 16.087 +1.271 +0.673 +0.657 +0.607 +1.264   2   1 0.0339 0.0276 0.3995 0.0028 0.0071   -22.7    -9.7  ______  14.012 0.029 13.407 0.027 13.242 0.039 190.98034  -0.54709  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.37
SA104-367   12:43:58.453 -00:33:33.87 15.844 +0.639 -0.126 +0.382 +0.296 +0.679   2   1 0.0255 0.0212 0.0156 0.0177 0.0226    -5.7    -7.3  ______  14.735 0.033 14.386 0.052 14.448 0.081 190.99355  -0.55946  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.59
SA104-484   12:44:20.526 -00:30:54.29 14.406 +1.024 +0.732 +0.514 +0.486 +1.000   2   1 0.0071 0.0184 0.0134 0.0057 0.0120   -12.1    -6.3  ______  12.735 0.024 12.227 0.021 12.144 0.026 191.08552  -0.51510  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.03
SA104-485   12:44:23.810 -00:30:16.38 15.017 +0.838 +0.493 +0.478 +0.488 +0.967   2   1 0.0113 0.0339 0.0226 0.0014 0.0099     3.5   -13.7  ______  13.343 0.024 12.886 0.026 12.820 0.029 191.09921  -0.50455  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.60
SA104-490   12:44:33.454 -00:25:51.78 12.572 +0.535 +0.048 +0.318 +0.312 +0.630  12   8 0.0029 0.0032 0.0052 0.0023 0.0026     1.5    -2.3  F8:___  11.521 0.027 11.317 0.022 11.228 0.021 191.13943  -0.43103  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.37
SA104-598   12:45:16.779 -00:16:40.47 11.478 +1.108 +1.051 +0.667 +0.545 +1.214  88  76 0.0010 0.0008 0.0023 0.0004 0.0005  -136.1   -79.8  K5V___   9.530 0.023  8.974 0.025  8.848 0.023 191.31988  -0.27793  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.64
PG1323-086  13:25:39.468 -08:49:19.12 13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18 0.0019 0.0022 0.0026 0.0018 0.0045    -5.0   -11.5  ______  13.766 0.027 13.773 0.038 13.795 0.064 201.41445  -8.82196  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.94
PG1323-086A 13:25:49.722 -08:50:23.53 13.591 +0.393 -0.019 +0.252 +0.252 +0.506  20  12 0.0257 0.0022 0.0045 0.0027 0.0060    -6.8     1.7  ______  12.641 0.026 12.508 0.026 12.422 0.034 201.45717  -8.83985  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.64
PG1323-086C 13:25:50.222 -08:48:38.94 14.003 +0.707 +0.245 +0.395 +0.363 +0.759  26  13 0.0031 0.0027 0.0076 0.0024 0.0049    -8.8   -16.4  ______  12.723 0.026 12.420 0.026 12.381 0.030 201.45928  -8.81083  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.07
PG1323-086B 13:25:50.651 -08:50:55.10 13.406 +0.761 +0.265 +0.426 +0.407 +0.833  23  13 0.0019 0.0029 0.0042 0.0023 0.0031     8.0   -25.9  ______  11.970 0.024 11.608 0.023 11.519 0.027 201.46106  -8.84862  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.45
PG1323-086D 13:26:05.252 -08:50:36.19 12.080 +0.587 +0.005 +0.346 +0.335 +0.684  15   6 0.0023 0.0018 0.0036 0.0013 0.0031    -9.7   -10.3  ______  10.959 0.024 10.672 0.026 10.648 0.028 201.52191  -8.84338  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.12
G14-55      13:28:21.082 -02:21:37.07 11.336 +1.491 +1.157 +1.078 +1.388 +2.462   5   2 0.0058 0.0049 0.0076 0.0067 0.0063   156.7  -492.5  ______   7.515 0.021  6.913 0.051  6.613 0.023 202.08776  -2.36015  0.6 -9.99  -9.99  -9.99  -9.99  -9.99  10.29
SA105-505   13:35:24.773 -00:23:20.74 10.270 +1.422 +1.218 +0.910 +0.861 +1.771   6   3 0.0061 0.0102 0.0053 0.0053 0.0069    36.6   187.5  M2V___   7.447 0.018  6.896 0.031  6.655 0.023 203.85324  -0.38915  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   9.31
SA105-437   13:37:16.748 -00:37:56.33 12.535 +0.248 +0.067 +0.136 +0.143 +0.279   7   3 0.0060 0.0038 0.0094 0.0053 0.0076   -15.7   -10.8  A3____  12.048 0.023 11.919 0.023 11.933 0.027 204.31974  -0.63232  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.17
SA105-815   13:40:02.492 -00:02:18.76 11.451 +0.381 -0.247 +0.267 +0.292 +0.559  61  51 0.0008 0.0007 0.0010 0.0005 0.0006  -229.2   -81.0  A0____  10.509 0.024 10.268 0.023 10.208 0.021 205.01040  -0.03857  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.12
BD+02_2711  13:42:19.004 +01:30:18.68 10.369 -0.163 -0.699 -0.072 -0.095 -0.168  94  78 0.0007 0.0006 0.0011 0.0005 0.0008    -5.9     1.1  ______  10.754 0.027 10.804 0.027 10.865 0.023 205.57918  +1.50521  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.21
UC32376437  13:42:23.215 +01:30:25.71 10.584 +0.499 +0.005 +0.304 +0.301 +0.606  10   8 0.0016 0.0016 0.0028 0.0006 0.0016    -8.1    -2.7  ______   9.607 0.026  9.384 0.027  9.291 0.021 205.59671  +1.50716  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.50
HD121968    13:58:51.167 -02:54:52.33 10.256 -0.185 -0.915 -0.074 -0.100 -0.173  90  75 0.0006 0.0006 0.0010 0.0004 0.0006     1.9    17.0  ______  10.636 0.024 10.757 0.022 10.774 0.019 209.71317  -2.91453  0.1 10.41  -9.99  -9.99  -9.99  -9.99  10.25
PG1407-013B 14:10:24.181 -01:27:16.52 12.471 +0.970 +0.665 +0.537 +0.505 +1.037  17  10 0.0013 0.0016 0.0020 0.0012 0.0016   -17.7     8.8  ______  10.659 0.024 10.170 0.023 10.016 0.019 212.60076  -1.45461  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.00
PG1407-013  14:10:25.915 -01:30:16.61 13.758 -0.259 -1.133 -0.119 -0.151 -0.272  21  12 0.0012 0.0017 0.0033 0.0015 0.0043   -16.2    -4.0  ______  14.368 0.027 14.407 0.045 14.397 0.079 212.60801  -1.50461  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.11
PG1407-013C 14:10:28.013 -01:25:03.05 12.462 +0.805 +0.298 +0.464 +0.448 +0.914  17  10 0.0015 0.0013 0.0031 0.0010 0.0014    -0.6   -23.8  ______  10.895 0.024 10.445 0.024 10.363 0.022 212.61675  -1.41751  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.97
PG1407-013A 14:10:29.547 -01:29:10.18 14.661 +1.151 +1.049 +0.617 +0.569 +1.178  21  10 0.0023 0.0030 0.0116 0.0018 0.0034   -11.1    -0.7  ______  12.582 0.026 11.939 0.026 11.859 0.024 212.62316  -1.48617  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.21
PG1407-013D 14:10:34.083 -01:27:14.00 14.872 +0.891 +0.420 +0.496 +0.472 +0.967  14   9 0.0024 0.0026 0.0104 0.0020 0.0063   -12.0     8.8  ______  13.157 0.024 12.634 0.024 12.518 0.023 212.64205  -1.45390  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.48
PG1407-013E 14:10:35.721 -01:26:31.42 15.182 +0.883 +0.600 +0.496 +0.417 +0.915   9   6 0.0036 0.0042 0.0144 0.0044 0.0074   -17.3     5.0  ______  13.579 0.024 13.163 0.027 13.040 0.036 212.64888  -1.44208  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.90
SA106-1024  14:40:06.997 +00:01:45.11 11.599 +0.332 +0.085 +0.196 +0.195 +0.390  35  27 0.0051 0.0022 0.0029 0.0019 0.0029     0.6     0.8  A2____  10.889 0.023 10.811 0.027 10.769 0.026 220.02915  +0.02921  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.81
SA106-700   14:40:50.944 -00:23:36.82  9.786 +1.364 +1.580 +0.730 +0.643 +1.374  88  77 0.0008 0.0006 0.0014 0.0005 0.0008   -17.1     3.8  K4III_   7.440 0.021  6.756 0.027  6.548 0.026 220.21225  -0.39357  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.04
SA106-575   14:41:38.499 -00:26:01.82  9.341 +1.306 +1.485 +0.676 +0.587 +1.268  39  30 0.0007 0.0007 0.0027 0.0005 0.0006   -30.9    -7.8  K0III_   7.116 0.020  6.528 0.033  6.324 0.017 220.41039  -0.43384  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.51
SA106-485   14:44:14.083 -00:37:06.69  9.477 +0.378 -0.052 +0.233 +0.236 +0.468  47  36 0.0009 0.0007 0.0010 0.0004 0.0006    -6.3    13.0  F4____   8.733 0.023  8.550 0.044  8.524 0.024 221.05870  -0.61853  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.25
PG1514+034  15:17:14.269 +03:10:27.92 13.997 -0.009 -0.955 +0.087 +0.126 +0.212   6   3 0.0078 0.0082 0.0102 0.0029 0.0073    -1.8    -5.2  ______  13.579 0.028 13.328 0.030 13.270 0.029 229.30944  +3.17442  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.35
PG1525-071  15:28:11.57  -07:16:32.7  15.046 -0.211 -1.177 -0.068 +0.012 -0.151  20  13 0.0027 0.0005 0.0027 0.0020 0.0071     0.0     0.0  ______  15.483 0.066 15.699 0.148 15.499 0.212 232.04822  -7.27576  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  15.05
PG1525-071D 15:28:12.00  -07:16:39.1  16.300 +0.393 +0.224 +0.405 +0.343 +0.756  15   8 0.0021 0.0714 0.0316 0.0108 0.0085     0.0     0.0  ______  14.995 0.039 14.605 0.056 14.495 0.091 232.05002  -7.27753  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.48
PG1525-071A 15:28:13.416 -07:16:01.03 13.506 +0.773 +0.282 +0.437 +0.421 +0.862  15   8 0.0008 0.0015 0.0019 0.0006 0.0026   -11.6   -19.2  ______  12.049 0.026 11.647 0.022 11.606 0.023 232.05588  -7.26691  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.05
PG1525-071B 15:28:14.39  -07:16:13.2  16.392 +0.729 +0.141 +0.450 +0.387 +0.906  17   8 0.0039 0.0043 0.0097 0.0037 0.0066   -10.0     4.0  ______  14.883 0.037 14.517 0.065 14.364 0.084 232.05995  -7.27032  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.78
PG1525-071C 15:28:16.502 -07:14:30.36 13.519 +1.116 +1.073 +0.593 +0.509 +1.096  16   9 0.0007 0.0028 0.0052 0.0010 0.0012   -13.7   -10.9  ______  11.615 0.026 11.105 0.022 11.015 0.021 232.06874  -7.24172  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.83
PG1528+062B 15:30:39.542 +06:01:12.98 11.989 +0.593 +0.005 +0.364 +0.344 +0.711   1   1 0.009  0.009  0.009  0.009  0.009    -15.5     6.7  ______  10.774 0.023 10.494 0.025 10.403 0.025 232.66480  +6.02027  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.32
PG1528+062A 15:30:49.092 +06:01:24.09 15.553 +0.830 +0.356 +0.433 +0.389 +0.824   1   1 0.009  0.009  0.009  0.009  0.009     -7.7     1.8  ______  13.994 0.026 13.549 0.036 13.498 0.038 232.70459  +6.02334  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.84
PG1528+062  15:30:49.93  +06:00:56.2  14.767 -0.252 -1.091 -0.111 -0.182 -0.296   1   1 0.009  0.009  0.009  0.009  0.009      6.0   -16.0  ______  15.255 0.053 15.306 0.088 15.324 0.157 232.70806  +6.01560  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.56
PG1528+062C 15:30:55.616 +06:00:09.59 13.477 +0.644 +0.074 +0.357 +0.340 +0.699   1   1 0.009  0.009  0.009  0.009  0.009    -14.5     6.3  ______  12.324 0.024 12.003 0.025 11.964 0.024 232.73176  +6.00264  0.1 11.01  -9.99  -9.99  -9.99  -9.99  13.14
PG1530+057A 15:33:10.224 +05:33:42.93 13.711 +0.829 +0.414 +0.473 +0.412 +0.886   1   1 0.009  0.009  0.009  0.009  0.009     -3.9    -0.1  ______  12.175 0.023 11.720 0.021 11.716 0.023 233.29260  +5.56194  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.38
PG1530+057  15:33:10.737 +05:32:26.88 14.211 +0.151 -0.789 +0.162 +0.036 +0.199   1   1 0.009  0.009  0.009  0.009  0.009    -25.9    -4.4  ______  13.490 0.023 13.270 0.034 13.277 0.034 233.29474  +5.54079  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.08
PG1530+057B 15:33:17.446 +05:33:46.29 12.842 +0.745 +0.325 +0.423 +0.376 +0.799   1   1 0.009  0.009  0.009  0.009  0.009     -3.9    -7.2  ______  11.487 0.023 11.152 0.022 11.089 0.021 233.32270  +5.56287  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.78
SA107-544   15:36:48.097 -00:15:07.07  9.036 +0.399 +0.156 +0.232 +0.227 +0.458  54  39 0.0010 0.0006 0.0011 0.0006 0.0008     0.0    26.0  F3____   8.198 0.019  8.109 0.053  8.021 0.023 234.20038  -0.25197  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   8.80
SA107-970   15:37:25.830 +00:18:33.82 10.939 +1.596 +1.750 +1.142 +1.435 +2.574  57  47 0.0074 0.0017 0.0061 0.0020 0.0040    -6.1    -2.4  M7III_   6.744 0.019  5.892 0.026  5.558 0.020 234.35760  +0.30942  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.13
SA107-568   15:37:52.713 -00:17:17.51 13.054 +1.149 +0.862 +0.625 +0.595 +1.217  15   7 0.0015 0.0028 0.0039 0.0021 0.0028   -12.8   -11.1  ______  10.924 0.024 10.324 0.024 10.180 0.024 234.46962  -0.28820  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.25
SA107-1006  15:38:33.353 +00:14:19.11 11.713 +0.766 +0.278 +0.442 +0.420 +0.863  81  72 0.0006 0.0009 0.0018 0.0005 0.0008    20.8   -24.7  G5V___  10.272 0.027  9.885 0.032  9.772 0.025 234.63893  +0.23859  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.22
SA107-347   15:38:35.770 -00:35:57.69  9.446 +1.294 +1.302 +0.712 +0.652 +1.365  33  26 0.0011 0.0009 0.0015 0.0007 0.0011   -23.3   -21.9  K2III_   7.045 0.021  6.328 0.034  6.182 0.023 234.64909  -0.59935  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   8.64
SA107-720   15:38:36.978 -00:02:24.92 13.121 +0.599 +0.088 +0.374 +0.355 +0.731   2   1 0.0057 0.0028 0.0106 0.0099 0.0078   -13.8   -12.5  ______  11.881 0.022 11.578 0.022 11.568 0.023 234.65410  -0.04026  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
SA107-456   15:38:42.735 -00:19:47.02 12.919 +0.921 +0.589 +0.537 +0.478 +1.015  20  10 0.0020 0.0029 0.0045 0.0020 0.0036   -31.2     8.7  ______  11.150 0.022 10.714 0.026 10.604 0.019 234.67812  -0.32972  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.18
SA107-351   15:38:45.760 -00:32:06.30 12.342 +0.562 -0.005 +0.351 +0.358 +0.708  25  14 0.0020 0.0024 0.0040 0.0016 0.0026   -10.8    -5.1  F8____  11.150 0.026 10.843 0.024 10.847 0.025 234.69069  -0.53507  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.29
SA107-457   15:38:46.763 -00:20:15.17 14.910 +0.792 +0.350 +0.494 +0.469 +0.964   2   1 0.0021 0.0035 0.0099 0.0028 0.0092    -3.0    -2.1  ______  13.312 0.023 12.892 0.026 12.775 0.027 234.69486  -0.33753  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.34
SA107-458   15:38:50.219 -00:24:26.45 11.676 +1.214 +1.189 +0.667 +0.602 +1.274   2   1 0.0042 0.0057 0.0049 0.0028 0.0035    -8.7     4.0  ______   9.473 0.024  8.800 0.034  8.730 0.025 234.70928  -0.40733  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.44
SA107-592   15:38:50.382 -00:17:09.17 11.847 +1.318 +1.380 +0.709 +0.647 +1.357   9   5 0.0033 0.0047 0.0133 0.0013 0.0020    -3.3     0.4  ______   9.492 0.023  8.771 0.065  8.594 0.023 234.70993  -0.28588  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.04
SA107-459   15:38:50.812 -00:22:33.77 12.284 +0.900 +0.427 +0.525 +0.517 +1.045   2   1 0.0014 0.0106 0.0099 0.0028 0.0035    -9.0   -16.3  ______  10.472 0.023  9.976 0.023  9.919 0.024 234.71175  -0.37604  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.72
SA107-212   15:38:56.067 -00:45:31.71 13.383 +0.683 +0.135 +0.404 +0.411 +0.818   2   1 0.0064 0.0106 0.0198 0.0071 0.0148    -1.4   -16.1  ______  12.018 0.030 11.708 0.022 11.604 0.024 234.73357  -0.75878  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.80
SA107-215   15:38:57.650 -00:43:06.59 16.046 +0.115 -0.082 -0.032 -0.475 -0.511   3   2 0.0266 0.0312 0.0092 0.0935 0.3943    -6.9   -17.4  ______  15.712 0.063 15.706 0.110 15.611 0.024 234.74021  -0.71846  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.80
SA107-213   15:38:57.671 -00:44:15.06 14.262 +0.802 +0.261 +0.531 +0.509 +1.038   1   1 0.009  0.009  0.009  0.009  0.009     13.5   -18.7  ______  12.542 0.029 12.068 0.022 11.957 0.021 234.74026  -0.73748  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.59
SA107-357   15:39:05.469 -00:39:12.16 14.418 +0.675 +0.025 +0.416 +0.421 +0.840   2   1 0.009  0.0035 0.0057 0.0120 0.0113   -14.0    -1.3  ______  13.061 0.027 12.719 0.024 12.624 0.029 234.77278  -0.65335  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.86
SA107-359   15:39:09.04  -00:35:38.6  12.797 +0.580 -0.124 +0.379 +0.381 +0.759   6   3 0.0049 0.0069 0.0118 0.0029 0.0053   -26.0   -76.0  ______  11.487 0.024 11.160 0.024 11.072 0.019 234.78769  -0.59406  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.30
SA107-599   15:39:09.457 -00:14:28.74 14.675 +0.698 +0.243 +0.433 +0.438 +0.869  17   7 0.0082 0.0121 0.0061 0.0053 0.0155    -9.2    -7.5  ______  13.235 0.024 12.882 0.027 12.733 0.030 234.78937  -0.24135  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.95
SA107-600   15:39:10.065 -00:15:51.15 14.884 +0.503 +0.049 +0.339 +0.361 +0.700   9   4 0.0170 0.0130 0.0227 0.0097 0.0203   -11.9    -2.2  ______  13.761 0.026 13.542 0.035 13.396 0.043 234.79190  -0.26425  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.11
SA107-601   15:39:13.88  -00:13:28.0  14.646 +1.412 +1.265 +0.923 +0.835 +1.761  33  13 0.0045 0.0073 0.0247 0.0035 0.0038     0.0     0.0  ______  11.820 0.023 11.165 0.024 11.010 0.027 234.80784  -0.22444  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.35
SA107-602   15:39:18.878 -00:15:29.94 12.116 +0.991 +0.585 +0.545 +0.531 +1.074  17   9 0.0027 0.0029 0.0070 0.0015 0.0032   -13.5    -9.1  G9:___  10.228 0.022  9.714 0.026  9.604 0.024 234.82862  -0.25834  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.37
SA107-611   15:39:35.077 -00:12:35.76 14.329 +0.890 +0.455 +0.520 +0.447 +0.968   4   2 0.0065 0.0085 0.0165 0.0090 0.0170   -11.0    19.5  ______  12.618 0.022 12.153 0.026 12.078 0.024 234.89615  -0.20994  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.59
SA107-612   15:39:35.427 -00:15:07.45 14.256 +0.896 +0.296 +0.551 +0.530 +1.081   2   1 0.0057 0.0014 0.0035 0.0035 0.0021    -9.8     6.3  ______  12.399 0.023 11.884 0.023 11.761 0.024 234.89760  -0.25207  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.38
SA107-614   15:39:41.132 -00:13:10.80 13.926 +0.622 +0.033 +0.361 +0.370 +0.732   4   2 0.0065 0.0170 0.0150 0.0040 0.0090    -5.9   -10.2  ______  12.702 0.024 12.435 0.029 12.351 0.026 234.92137  -0.21965  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.63
SA107-626   15:40:05.349 -00:17:28.95 13.468 +1.000 +0.728 +0.600 +0.527 +1.126  24  12 0.0045 0.0082 0.0118 0.0024 0.0035    25.2    -7.2  ______  11.580 0.021 11.098 0.024 10.953 0.023 235.02229  -0.29134  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.80
SA107-627   15:40:07.462 -00:17:22.68 13.349 +0.779 +0.226 +0.465 +0.454 +0.918  24  12 0.0055 0.0047 0.0049 0.0022 0.0037     2.7   -10.6  ______  11.802 0.023 11.382 0.024 11.272 0.023 235.03110  -0.28960  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
SA107-484   15:40:16.818 -00:21:14.93 11.311 +1.240 +1.298 +0.664 +0.577 +1.240  26  20 0.0006 0.0015 0.0038 0.0006 0.0016     2.9   -12.7  K0III_   9.170 0.021  8.512 0.042  8.431 0.044 235.07007  -0.35411  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.65
SA107-636   15:40:40.488 -00:14:53.10 14.873 +0.751 +0.121 +0.432 +0.465 +0.896   2   1 0.0134 0.0120 0.0177 0.0085 0.0325     6.3    -4.1  ______  13.372 0.026 12.978 0.031 12.927 0.035 235.16873  -0.24804  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.24
SA107-639   15:40:44.767 -00:17:10.24 14.197 +0.640 -0.026 +0.399 +0.404 +0.803  10   6 0.0161 0.0092 0.0202 0.0104 0.0126    -9.2    -1.1  ______  12.823 0.023 12.466 0.022 12.425 0.026 235.18657  -0.28612  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  13.70
SA107-640   15:40:49.150 -00:16:47.53 15.050 +0.755 +0.092 +0.511 +0.506 +1.017   5   3 0.0250 0.0103 0.0322 0.0183 0.0246   -14.1     3.3  ______  13.311 0.023 12.821 0.025 12.732 0.024 235.20480  -0.27983  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.28
G153-41     16:17:55.241 -15:35:52.15 13.425 -0.210 -1.129 -0.133 -0.158 -0.289  39  27 0.0015 0.0016 0.0026 0.0010 0.0025  -172.2  -161.7  ______  14.039 0.032 14.210 0.037 14.318 0.076 244.48024 -15.59776  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  13.72
