WAVELENGTH,FLUX,CONTINUUM,WAVELENGTH [um]
1106.8112453190226,3.3220096e-12,3.7886463e-10,0.11068112453190229
1107.9208249698067,4.3401983e-12,3.957683e-10,0.11079208249698069
1109.0315168427564,7.536026e-12,4.1291007e-10,0.11090315168427567
1110.1433222377814,1.484032e-11,4.3060736e-10,0.11101433222377816
1111.2562422548037,2.325248e-11,4.4846335e-10,0.11112562422548039
1112.3702778937543,3.2934398e-11,4.667955e-10,0.11123702778937546
1113.4854303545487,3.7545217e-11,4.8560383e-10,0.1113485430354549
1114.6017008371032,4.614784e-11,5.045709e-10,0.11146017008371034
1115.7190903413477,8.17408e-11,5.2401405e-10,0.11157190903413479
1116.8376000671985,8.2455036e-11,5.4393345e-10,0.11168376000671987
1117.957231014585,7.97568e-11,5.641702e-10,0.11179572310145852
1119.077984483417,1.1356416e-10,5.846451e-10,0.11190779844834171
1120.1998614736237,1.1054848e-10,6.055168e-10,0.11201998614736239
1121.3228630851288,7.1868414e-11,6.267853e-10,0.11213228630851291
1122.446990617841,6.9757436e-11,6.482125e-10,0.11224469906178412
1123.5722449716975,1.2824576e-10,6.7003647e-10,0.11235722449716977
1124.6986274466074,1.5808511e-10,6.9225725e-10,0.11246986274466075
1125.8261391424933,1.6157696e-10,7.144781e-10,0.11258261391424935
1126.9547811592784,1.341184e-10,7.3725437e-10,0.11269547811592785
1128.084554696879,8.229632e-11,7.600307e-10,0.11280845546968792
1129.215460755225,5.954381e-11,7.8312445e-10,0.11292154607552252
1130.3475005342323,9.68192e-11,8.062976e-10,0.11303475005342324
1131.480675233817,1.4578432e-10,8.301056e-10,0.11314806752338172
1132.6149859539023,1.5110144e-10,8.539136e-10,0.11326149859539025
1133.7504337944108,1.3261056e-10,8.777216e-10,0.1133750433794411
1134.887019955259,1.4570496e-10,9.023232e-10,0.11348870199552591
1136.0247455363694,1.8046464e-10,9.269248e-10,0.11360247455363696
1137.1636116376656,1.7689344e-10,9.515264e-10,0.11371636116376657
1138.3036194590634,1.2570624e-10,9.76128e-10,0.11383036194590636
1139.4447702004788,6.970982e-11,1.0007296e-09,0.11394447702004791
1140.5870648618418,7.344768e-11,1.0261247e-09,0.1140587064861842
1141.7305047430614,1.04040956e-10,1.05152e-09,0.11417305047430616
1142.8750909440605,1.0689792e-10,1.0769152e-09,0.11428750909440608
1144.0208245647627,1.1086592e-10,1.1015168e-09,0.11440208245647629
1145.1677067050903,1.4459392e-10,1.126912e-09,0.11451677067050904
1146.3157386649527,1.5427584e-10,1.1523071e-09,0.11463157386649529
1147.4649215442732,1.4665728e-10,1.178496e-09,0.11474649215442735
1148.6152565429672,1.5887872e-10,1.2038912e-09,0.11486152565429675
1149.7667446609653,1.6927487e-10,1.2292863e-09,0.11497667446609655
1150.919387098183,1.6879872e-10,1.2546816e-09,0.11509193870981832
1152.0731851545297,1.5800576e-10,1.2800768e-09,0.11520731851545299
1153.2281398299356,1.5006976e-10,1.3007104e-09,0.11532281398299357
1154.3842524243091,1.5768832e-10,1.3062655e-09,0.11543842524243093
1155.5415240375737,1.4840319e-10,1.3118208e-09,0.1155541524037574
1156.6999556696596,1.1086592e-10,1.317376e-09,0.11566999556696599
1157.8595487204682,7.714585e-11,1.3229312e-09,0.11578595487204683
