CNS5,GJ,Comp,NComp,P_,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,_tab1_11,plx,pmRA,pmDE,RV,Gmag,BPmag,RPmag,GHIPmag,G-RPHIP,Gmagr,__G-RP_r,f__G-RP_r,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,SimbadName
4768,12795,,,0,,6743125631414819840,,288.16782061103,-36.25773830305,2016.0,87.08,773.12,-1955.84,,12.492158,14.18111,11.229515,,,12.492158,1.249507,0,9.523,9.008,8.769,8.606,8.35,8.239,7.974,CNS5 4768
4891,12875,A,2,1,,6739809744861879296,,295.85377068264,-37.37053600584,2016.0,41.39,162.66,-183.27,,12.256926,13.878498,10.999477,,,12.256926,1.234347,0,9.197,8.492,8.247,,,,,CNS5 4891
4890,12874,B,2,0,12875,6739809744858934272,,295.85328616901,-37.37028652754,2016.0,42.27,156.9,-182.52,,15.296693,15.941836,13.223676,,,15.296693,2.087217,1,,,,,,,,CNS5 4890
4847,1239,,,0,,6741156023833749504,96113,293.12455498131,-35.45101838998,2016.0,47.35,-287.7,159.06,53.7,8.28885,8.885469,7.551212,,,8.28885,0.735432,0,6.657,6.085,5.957,5.987,5.929,5.976,5.873,CNS5 4847
4480,12614,B,2,0,702.1,4038724053950163968,,271.59943687689,-36.02315817876,2016.0,58.52,113.94,12.51,,11.926581,13.434135,10.71777,,,11.926581,1.198555,0,8.954,8.406,8.108,7.884,7.51,7.117,5.832,CNS5 4480
4479,702.1,A,2,1,,4038724053986441728,88694,271.59941391884,-36.01974711463,2016.0,58.43,106.02,8.81,15.31,5.8053985,6.107953,5.326963,,,5.805398,0.476303,0,4.835,4.614,4.469,,,,,CNS5 4479
4491,12623,A,2,1,,4038797789974368256,,272.2459394764,-35.77958424482,2016.0,45.77,-83.34,-96.26,,12.981897,14.460503,11.786089,,,12.981897,1.188873,0,10.208,9.62,9.316,,,,,CNS5 4491
4492,12624,B,2,0,12623,4038797789974368768,,272.2465302022,-35.77882617429,2016.0,45.68,-86.45,-83.78,,13.123023,14.635268,11.918229,,,13.123023,1.198707,0,10.26,9.672,9.446,,,,,CNS5 4492
4549,12657,,,0,,4044295274980460544,,275.95519362108,-34.86618570491,2016.0,42.35,106.93,63.74,,12.0553465,13.484756,10.881332,,,12.055346,1.171925,0,9.311,8.704,8.489,8.269,8.131,8.053,7.707,CNS5 4549
4563,12667,,,0,,4045112624470837760,,276.72481744773,-33.10487195702,2016.0,43.95,345.23,84.01,,12.167961,13.496495,11.026839,,,12.167961,1.137946,0,9.52,8.966,8.706,8.578,8.417,8.304,8.132,CNS5 4563
4569,12672,,,0,,6734485286788610048,,277.35070911178,-34.96362316023,2016.0,71.81,-54.21,-237.99,,10.7607975,12.122054,9.604668,,,10.760798,1.150602,0,8.086,7.565,7.327,7.146,6.978,6.93,6.846,CNS5 4569
4608,12696,,,0,,6733860940302404608,,279.24387023467,-35.12263988554,2016.0,52.55,76.7,-253.64,,16.14279,19.356163,14.650265,,,16.14279,1.492525,1,12.144,11.558,11.195,10.908,10.693,10.278,8.637,CNS5 4608
4665,12734,,,0,,6735410976814156800,,281.90055761568,-33.70239835913,2016.0,42.93,-284.06,-117.98,,13.4977255,15.168541,12.25569,,,13.497726,1.241489,0,10.52,10.049,9.742,9.601,9.378,9.215,8.439,CNS5 4665
4641,12716,A,2,1,,6735656923825445888,,280.80141729145,-33.38112796161,2016.0,62.1,-129.33,-371.19,-21.82,9.483537,10.517632,8.473823,,,9.483537,1.010214,0,7.192,6.535,6.328,6.14,6.048,6.113,5.932,CNS5 4641
4639,12714,B,2,0,12716,6735656923825447936,,280.80077352096,-33.37699712022,2016.0,62.31,-147.36,-368.39,,14.2670765,16.548954,12.894331,,,14.267076,1.376161,0,10.732,10.14,9.829,9.463,9.218,8.855,7.816,CNS5 4639
4656,12729,A,2,1,,6736067076020048896,,281.34987801161,-32.89384380713,2016.0,45.65,117.44,48.91,-6.44,10.443449,11.516093,9.416775,,,10.443449,1.028936,0,8.117,7.464,7.24,7.067,7.048,6.988,6.945,CNS5 4656
4657,12730,B,2,0,12729,6736067076010808320,,281.35126394238,-32.89337897587,2016.0,45.27,98.1,39.66,,17.208248,18.604427,15.432211,,,17.208248,1.776037,1,,,,,,,,CNS5 4657
4661,12731,,,0,,6736068072442492928,,281.53191624619,-32.83742608725,2016.0,48.93,12.7,-257.44,,14.98604,17.334436,13.603264,,,14.98604,1.385966,0,11.429,10.861,10.549,10.269,10.085,10.07,8.954,CNS5 4661
4467,12607,,,0,,4043852481204049408,,271.06084470502,-31.49496751087,2016.0,46.4,-14.63,-811.99,,15.132305,17.418045,13.744633,,,15.132305,1.376859,0,11.722,11.149,10.877,10.647,10.498,10.235,8.344,CNS5 4467
4460,12602,,,0,,4063191108246057472,,270.46818452098,-27.11740461606,2016.0,41.65,-248.28,-517.31,,13.621531,15.377106,12.355954,,,13.621531,1.263284,0,10.509,9.899,9.604,9.416,9.311,8.959,7.535,CNS5 4460
4598,12690,B,2,0,12689,4046709875578636800,,278.8420128482,-31.39668073925,2016.0,58.09,28.53,-380.0,,12.503245,14.271924,11.227741,,,12.503245,1.268087,0,9.438,8.815,8.533,,,,,CNS5 4598
4597,12689,A,2,1,,4046709772499428352,,278.8398616375,-31.39568119569,2016.0,58.07,23.63,-383.09,,11.602419,13.203115,10.377976,,,11.602419,1.223085,0,8.652,8.097,7.803,,,,,CNS5 4597
4567,12670,B,2,0,12671,4047622985588974592,,277.3220045167,-30.99999124772,2016.0,44.83,456.7,-256.89,83.17,13.42686,14.87038,12.253003,,,13.42686,1.175431,0,10.669,10.16,9.936,,,,,CNS5 4567
4568,12671,A,2,1,,4047622985664694784,,277.32281540623,-30.99809275958,2016.0,44.82,456.85,-251.36,,12.854702,14.161824,11.725777,,,12.854702,1.129325,0,10.247,9.769,9.487,,,,,CNS5 4568
4660,4074,,,0,,4071372539860350464,,281.49097499001,-28.93270089026,2016.0,53.23,307.23,-248.84,,11.373336,12.935164,10.140617,,,11.373336,1.216475,0,8.414,7.897,7.603,7.41,7.265,7.19,7.03,CNS5 4660
4681,12743,,,0,,4072260704719970816,92444,282.58747786739,-26.92373729815,2016.0,56.7,-140.52,-23.19,22.12,9.050766,9.9169,8.136176,,,9.050766,0.91513,0,6.989,6.378,6.183,6.133,6.006,6.074,5.922,CNS5 4681
4809,12819,,,0,,6742962972412391424,,290.52416420823,-35.06346218452,2016.0,53.21,120.02,-219.52,,13.399608,15.170221,12.133557,,,13.399608,1.266482,0,10.29,9.783,9.465,9.264,9.074,8.949,7.859,CNS5 4809
4803,755,,,0,,,95149,290.37374909685,-34.98322407662,1991.25,53.1,68.54,-98.78,,,,,6.324095,0.492163,6.324095,0.492163,2,,,,,,,,CNS5 4803
4727,12772,,,0,,,,285.024,-31.13698,2017.46,42.5,-43.5,-312.5,,,,,,,,,,,,,18.672,14.993,12.047,8.854,CNS5 4727
4825,12828,,,0,,,,291.651234,-34.498916,2017.12,51.6,85.1,-193.4,,,,,,,,,,,,,16.028,14.389,11.746,8.893,CNS5 4825
4869,12858,,,0,,6744957928883188736,,294.61464248867,-32.52523817811,2016.0,50.49,91.02,-337.47,,12.559716,14.030066,11.378,,,12.559716,1.183687,0,9.805,9.214,8.972,8.795,8.61,8.476,8.589,CNS5 4869
4892,12876,,,0,,6747926786376161280,,295.96569928531,-32.40297314008,2016.0,57.87,-24.46,-415.51,,10.681555,11.926144,9.574714,,,10.681555,1.10587,0,8.121,7.533,7.291,7.142,7.016,6.949,6.875,CNS5 4892
4782,12803,,,0,,6758930664392303616,,289.26976064211,-30.32309414783,2016.0,42.85,183.53,-189.74,,15.397839,17.820475,13.997627,,,15.397839,1.40108,0,11.823,11.247,10.876,10.664,10.462,10.311,8.253,CNS5 4782
4804,12818,,,0,,6759481141756108800,,290.37670923522,-29.26292486372,2016.0,66.56,512.61,250.67,,15.530938,18.627043,14.045161,,,15.530938,1.485777,1,11.448,10.846,10.441,10.228,10.031,9.778,8.469,CNS5 4804
4833,12835,,,0,,6764432753712670720,,292.29432884419,-29.53640919402,2016.0,41.75,-24.72,31.48,,12.5641,14.115361,11.355445,,,12.5641,1.208462,0,9.705,9.082,8.833,8.662,8.512,8.366,8.115,CNS5 4833
